Year,Month,Condition,Age Group,COVID-19 Deaths
2020,4,Influenza and pneumonia,35-44,479
2020,5,Influenza and pneumonia,35-44,246
2020,6,Influenza and pneumonia,35-44,180
2020,7,Influenza and pneumonia,35-44,416
2020,8,Influenza and pneumonia,35-44,291
2020,9,Influenza and pneumonia,35-44,168
2020,10,Influenza and pneumonia,35-44,184
2020,11,Influenza and pneumonia,35-44,320
2020,12,Influenza and pneumonia,35-44,632
2021,1,Influenza and pneumonia,35-44,852
2021,2,Influenza and pneumonia,35-44,415
2021,3,Influenza and pneumonia,35-44,266
2021,4,Influenza and pneumonia,35-44,306
2021,5,Influenza and pneumonia,35-44,292
2021,6,Influenza and pneumonia,35-44,180
2021,7,Influenza and pneumonia,35-44,314
2021,8,Influenza and pneumonia,35-44,1726
2021,9,Influenza and pneumonia,35-44,2281
2021,10,Influenza and pneumonia,35-44,1300
2021,11,Influenza and pneumonia,35-44,782
2021,12,Influenza and pneumonia,35-44,1000
2022,1,Influenza and pneumonia,35-44,1113
2022,2,Influenza and pneumonia,35-44,494
2022,3,Influenza and pneumonia,35-44,130
2022,4,Influenza and pneumonia,35-44,42
2022,5,Influenza and pneumonia,35-44,41
2022,6,Influenza and pneumonia,35-44,46
2022,7,Influenza and pneumonia,35-44,68
2022,8,Influenza and pneumonia,35-44,68
2022,9,Influenza and pneumonia,35-44,44
2022,10,Influenza and pneumonia,35-44,29
2022,11,Influenza and pneumonia,35-44,36
2022,12,Influenza and pneumonia,35-44,47
2023,1,Influenza and pneumonia,35-44,49
2023,2,Influenza and pneumonia,35-44,31
2023,3,Influenza and pneumonia,35-44,11
2020,1,Influenza and pneumonia,45-54,0
2020,2,Influenza and pneumonia,45-54,2
2020,3,Influenza and pneumonia,45-54,232
2020,4,Influenza and pneumonia,45-54,1411
2020,5,Influenza and pneumonia,45-54,763
2020,6,Influenza and pneumonia,45-54,508
2020,7,Influenza and pneumonia,45-54,962
2020,8,Influenza and pneumonia,45-54,893
2020,9,Influenza and pneumonia,45-54,497
2020,10,Influenza and pneumonia,45-54,509
2020,11,Influenza and pneumonia,45-54,978
2020,12,Influenza and pneumonia,45-54,2112
2021,1,Influenza and pneumonia,45-54,2570
2021,2,Influenza and pneumonia,45-54,1403
2021,3,Influenza and pneumonia,45-54,786
2021,4,Influenza and pneumonia,45-54,850
2021,5,Influenza and pneumonia,45-54,750
2021,6,Influenza and pneumonia,45-54,459
2021,7,Influenza and pneumonia,45-54,721
2021,8,Influenza and pneumonia,45-54,3553
2021,9,Influenza and pneumonia,45-54,4706
2021,10,Influenza and pneumonia,45-54,2899
2021,11,Influenza and pneumonia,45-54,1707
2021,12,Influenza and pneumonia,45-54,2210
2022,1,Influenza and pneumonia,45-54,2852
2022,2,Influenza and pneumonia,45-54,1286
2022,3,Influenza and pneumonia,45-54,353
2022,4,Influenza and pneumonia,45-54,112
2022,5,Influenza and pneumonia,45-54,98
2022,6,Influenza and pneumonia,45-54,112
2022,7,Influenza and pneumonia,45-54,148
2022,8,Influenza and pneumonia,45-54,163
2022,9,Influenza and pneumonia,45-54,111
2022,10,Influenza and pneumonia,45-54,89
2022,11,Influenza and pneumonia,45-54,68
2022,12,Influenza and pneumonia,45-54,113
2023,1,Influenza and pneumonia,45-54,95
2023,2,Influenza and pneumonia,45-54,74
2023,3,Influenza and pneumonia,45-54,32
2020,1,Influenza and pneumonia,55-64,0
2020,2,Influenza and pneumonia,55-64,4
2020,3,Influenza and pneumonia,55-64,459
2020,4,Influenza and pneumonia,55-64,3535
2020,5,Influenza and pneumonia,55-64,1941
2020,6,Influenza and pneumonia,55-64,1102
2020,7,Influenza and pneumonia,55-64,2143
2020,8,Influenza and pneumonia,55-64,2189
2020,9,Influenza and pneumonia,55-64,1264
2020,10,Influenza and pneumonia,55-64,1349
2020,11,Influenza and pneumonia,55-64,2654
2020,12,Influenza and pneumonia,55-64,5415
2021,1,Influenza and pneumonia,55-64,7066
2021,2,Influenza and pneumonia,55-64,3914
2021,3,Influenza and pneumonia,55-64,2084
2021,4,Influenza and pneumonia,55-64,1790
2021,5,Influenza and pneumonia,55-64,1620
2021,6,Influenza and pneumonia,55-64,926
2021,7,Influenza and pneumonia,55-64,1190
2021,8,Influenza and pneumonia,55-64,5750
2021,9,Influenza and pneumonia,55-64,8013
2021,10,Influenza and pneumonia,55-64,5094
2021,11,Influenza and pneumonia,55-64,3359
2021,12,Influenza and pneumonia,55-64,4605
2022,1,Influenza and pneumonia,55-64,6467
2022,2,Influenza and pneumonia,55-64,3712
2022,3,Influenza and pneumonia,55-64,1031
2022,4,Influenza and pneumonia,55-64,292
2022,5,Influenza and pneumonia,55-64,221
2022,6,Influenza and pneumonia,55-64,280
2022,7,Influenza and pneumonia,55-64,358
2022,8,Influenza and pneumonia,55-64,363
2022,9,Influenza and pneumonia,55-64,311
2022,10,Influenza and pneumonia,55-64,236
2022,11,Influenza and pneumonia,55-64,223
2022,12,Influenza and pneumonia,55-64,344
2023,1,Influenza and pneumonia,55-64,401
2023,2,Influenza and pneumonia,55-64,201
2023,3,Influenza and pneumonia,55-64,86
2020,1,Influenza and pneumonia,65-74,1
2020,2,Influenza and pneumonia,65-74,0
2020,3,Influenza and pneumonia,65-74,701
2020,4,Influenza and pneumonia,65-74,5958
2020,5,Influenza and pneumonia,65-74,3324
2020,6,Influenza and pneumonia,65-74,1645
2020,7,Influenza and pneumonia,65-74,3315
2020,8,Influenza and pneumonia,65-74,3501
2020,9,Influenza and pneumonia,65-74,2158
2020,10,Influenza and pneumonia,65-74,2592
2020,11,Influenza and pneumonia,65-74,5438
2020,12,Influenza and pneumonia,65-74,10579
2021,1,Influenza and pneumonia,65-74,13027
2021,2,Influenza and pneumonia,65-74,6552
2021,3,Influenza and pneumonia,65-74,3203
2021,4,Influenza and pneumonia,65-74,2511
2021,5,Influenza and pneumonia,65-74,2069
2021,6,Influenza and pneumonia,65-74,1068
2021,7,Influenza and pneumonia,65-74,1428
2021,8,Influenza and pneumonia,65-74,6692
2021,9,Influenza and pneumonia,65-74,9067
2021,10,Influenza and pneumonia,65-74,6247
2021,11,Influenza and pneumonia,65-74,4473
2021,12,Influenza and pneumonia,65-74,6551
2022,1,Influenza and pneumonia,65-74,9905
2022,2,Influenza and pneumonia,65-74,6395
2022,3,Influenza and pneumonia,65-74,1771
2022,4,Influenza and pneumonia,65-74,443
2022,5,Influenza and pneumonia,65-74,428
2022,6,Influenza and pneumonia,65-74,480
2022,7,Influenza and pneumonia,65-74,747
2022,8,Influenza and pneumonia,65-74,865
2022,9,Influenza and pneumonia,65-74,660
2022,10,Influenza and pneumonia,65-74,524
2022,11,Influenza and pneumonia,65-74,557
2022,12,Influenza and pneumonia,65-74,886
2023,1,Influenza and pneumonia,65-74,992
2023,2,Influenza and pneumonia,65-74,540
2023,3,Influenza and pneumonia,65-74,181
2020,1,Influenza and pneumonia,75-84,1
2020,2,Influenza and pneumonia,75-84,1
2020,3,Influenza and pneumonia,75-84,874
2020,4,Influenza and pneumonia,75-84,7513
2020,5,Influenza and pneumonia,75-84,3824
2020,6,Influenza and pneumonia,75-84,1818
2020,7,Influenza and pneumonia,75-84,3570
2020,8,Influenza and pneumonia,75-84,3793
2020,9,Influenza and pneumonia,75-84,2393
2020,10,Influenza and pneumonia,75-84,3159
2020,11,Influenza and pneumonia,75-84,7038
2020,12,Influenza and pneumonia,75-84,13427
2021,1,Influenza and pneumonia,75-84,15243
2021,2,Influenza and pneumonia,75-84,6980
2021,3,Influenza and pneumonia,75-84,2951
2021,4,Influenza and pneumonia,75-84,2138
2021,5,Influenza and pneumonia,75-84,1711
2021,6,Influenza and pneumonia,75-84,871
2021,7,Influenza and pneumonia,75-84,1251
2021,8,Influenza and pneumonia,75-84,5670
2021,9,Influenza and pneumonia,75-84,7202
2021,10,Influenza and pneumonia,75-84,4779
2021,11,Influenza and pneumonia,75-84,3959
2021,12,Influenza and pneumonia,75-84,5780
2022,1,Influenza and pneumonia,75-84,10478
2022,2,Influenza and pneumonia,75-84,6603
2022,3,Influenza and pneumonia,75-84,1810
2022,4,Influenza and pneumonia,75-84,543
2022,5,Influenza and pneumonia,75-84,600
2022,6,Influenza and pneumonia,75-84,853
2022,7,Influenza and pneumonia,75-84,1112
2022,8,Influenza and pneumonia,75-84,1294
2022,9,Influenza and pneumonia,75-84,901
2022,10,Influenza and pneumonia,75-84,823
2022,11,Influenza and pneumonia,75-84,918
2022,12,Influenza and pneumonia,75-84,1360
2023,1,Influenza and pneumonia,75-84,1482
2023,2,Influenza and pneumonia,75-84,875
2023,3,Influenza and pneumonia,75-84,366
2020,1,Influenza and pneumonia,85+,0
2020,2,Influenza and pneumonia,85+,0
2020,3,Influenza and pneumonia,85+,819
2020,4,Influenza and pneumonia,85+,8390
2020,5,Influenza and pneumonia,85+,4540
2020,6,Influenza and pneumonia,85+,1759
2020,7,Influenza and pneumonia,85+,3173
2020,8,Influenza and pneumonia,85+,3209
2020,9,Influenza and pneumonia,85+,2134
2020,10,Influenza and pneumonia,85+,2955
2020,11,Influenza and pneumonia,85+,6591
2020,12,Influenza and pneumonia,85+,12535
2021,1,Influenza and pneumonia,85+,13169
2021,2,Influenza and pneumonia,85+,5321
2021,3,Influenza and pneumonia,85+,2115
2021,4,Influenza and pneumonia,85+,1544
2021,5,Influenza and pneumonia,85+,1140
2021,6,Influenza and pneumonia,85+,536
2021,7,Influenza and pneumonia,85+,838
2021,8,Influenza and pneumonia,85+,3691
2021,9,Influenza and pneumonia,85+,4479
2021,10,Influenza and pneumonia,85+,3246
2021,11,Influenza and pneumonia,85+,2807
2021,12,Influenza and pneumonia,85+,3920
2022,1,Influenza and pneumonia,85+,8817
2022,2,Influenza and pneumonia,85+,5130
2022,3,Influenza and pneumonia,85+,1305
2022,4,Influenza and pneumonia,85+,521
2022,5,Influenza and pneumonia,85+,819
2022,6,Influenza and pneumonia,85+,1088
2022,7,Influenza and pneumonia,85+,1500
2022,8,Influenza and pneumonia,85+,1562
2022,9,Influenza and pneumonia,85+,1230
2022,10,Influenza and pneumonia,85+,1073
2022,11,Influenza and pneumonia,85+,1123
2022,12,Influenza and pneumonia,85+,1765
2023,1,Influenza and pneumonia,85+,1891
2023,2,Influenza and pneumonia,85+,1038
2023,3,Influenza and pneumonia,85+,445
2020,1,Influenza and pneumonia,Not stated,0
2020,2,Influenza and pneumonia,Not stated,0
2020,3,Influenza and pneumonia,Not stated,1
2020,4,Influenza and pneumonia,Not stated,0
2020,5,Influenza and pneumonia,Not stated,1
2020,6,Influenza and pneumonia,Not stated,0
2020,7,Influenza and pneumonia,Not stated,0
2020,8,Influenza and pneumonia,Not stated,0
2020,9,Influenza and pneumonia,Not stated,0
2020,10,Influenza and pneumonia,Not stated,0
2020,11,Influenza and pneumonia,Not stated,2
2020,12,Influenza and pneumonia,Not stated,2
2021,1,Influenza and pneumonia,Not stated,0
2021,2,Influenza and pneumonia,Not stated,0
2021,3,Influenza and pneumonia,Not stated,1
2021,4,Influenza and pneumonia,Not stated,1
2021,5,Influenza and pneumonia,Not stated,0
2021,6,Influenza and pneumonia,Not stated,0
2021,7,Influenza and pneumonia,Not stated,0
2021,8,Influenza and pneumonia,Not stated,1
2021,9,Influenza and pneumonia,Not stated,1
2021,10,Influenza and pneumonia,Not stated,0
2021,11,Influenza and pneumonia,Not stated,0
2021,12,Influenza and pneumonia,Not stated,1
2022,1,Influenza and pneumonia,Not stated,1
2022,2,Influenza and pneumonia,Not stated,0
2022,3,Influenza and pneumonia,Not stated,0
2022,4,Influenza and pneumonia,Not stated,0
2022,5,Influenza and pneumonia,Not stated,0
2022,6,Influenza and pneumonia,Not stated,0
2022,7,Influenza and pneumonia,Not stated,0
2022,8,Influenza and pneumonia,Not stated,0
2022,9,Influenza and pneumonia,Not stated,0
2022,10,Influenza and pneumonia,Not stated,0
2022,11,Influenza and pneumonia,Not stated,0
2022,12,Influenza and pneumonia,Not stated,0
2023,1,Influenza and pneumonia,Not stated,0
2023,2,Influenza and pneumonia,Not stated,0
2023,3,Influenza and pneumonia,Not stated,0
2020,1,Influenza and pneumonia,All Ages,2
2020,2,Influenza and pneumonia,All Ages,8
2020,3,Influenza and pneumonia,All Ages,3229
2020,4,Influenza and pneumonia,All Ages,27501
2020,5,Influenza and pneumonia,All Ages,14756
2020,6,Influenza and pneumonia,All Ages,7104
2020,7,Influenza and pneumonia,All Ages,13767
2020,8,Influenza and pneumonia,All Ages,14016
2020,9,Influenza and pneumonia,All Ages,8697
2020,10,Influenza and pneumonia,All Ages,10805
2020,11,Influenza and pneumonia,All Ages,23168
2020,12,Influenza and pneumonia,All Ages,44970
2021,1,Influenza and pneumonia,All Ages,52320
2021,2,Influenza and pneumonia,All Ages,24775
2021,3,Influenza and pneumonia,All Ages,11537
2021,4,Influenza and pneumonia,All Ages,9288
2021,5,Influenza and pneumonia,All Ages,7720
2021,6,Influenza and pneumonia,All Ages,4121
2021,7,Influenza and pneumonia,All Ages,5917
2021,8,Influenza and pneumonia,All Ages,27965
2021,9,Influenza and pneumonia,All Ages,36777
2021,10,Influenza and pneumonia,All Ages,24186
2021,11,Influenza and pneumonia,All Ages,17426
2021,12,Influenza and pneumonia,All Ages,24542
2022,1,Influenza and pneumonia,All Ages,40225
2022,2,Influenza and pneumonia,All Ages,23878
2022,3,Influenza and pneumonia,All Ages,6472
2022,4,Influenza and pneumonia,All Ages,1990
2022,5,Influenza and pneumonia,All Ages,2243
2022,6,Influenza and pneumonia,All Ages,2907
2022,7,Influenza and pneumonia,All Ages,3969
2022,8,Influenza and pneumonia,All Ages,4364
2022,9,Influenza and pneumonia,All Ages,3281
2022,10,Influenza and pneumonia,All Ages,2807
2022,11,Influenza and pneumonia,All Ages,2944
2022,12,Influenza and pneumonia,All Ages,4561
2023,1,Influenza and pneumonia,All Ages,4947
2023,2,Influenza and pneumonia,All Ages,2772
2023,3,Influenza and pneumonia,All Ages,1130
2020,1,Chronic lower respiratory diseases,0-24,0
2020,2,Chronic lower respiratory diseases,0-24,0
2020,3,Chronic lower respiratory diseases,0-24,2
2020,4,Chronic lower respiratory diseases,0-24,7
2020,5,Chronic lower respiratory diseases,0-24,3
2020,6,Chronic lower respiratory diseases,0-24,5
2020,7,Chronic lower respiratory diseases,0-24,11
2020,8,Chronic lower respiratory diseases,0-24,6
2020,9,Chronic lower respiratory diseases,0-24,0
2020,10,Chronic lower respiratory diseases,0-24,2
2020,11,Chronic lower respiratory diseases,0-24,1
2020,12,Chronic lower respiratory diseases,0-24,6
2021,1,Chronic lower respiratory diseases,0-24,7
2021,2,Chronic lower respiratory diseases,0-24,8
2021,3,Chronic lower respiratory diseases,0-24,1
2021,4,Chronic lower respiratory diseases,0-24,3
2021,5,Chronic lower respiratory diseases,0-24,2
2021,6,Chronic lower respiratory diseases,0-24,3
2021,7,Chronic lower respiratory diseases,0-24,4
2021,8,Chronic lower respiratory diseases,0-24,14
2021,9,Chronic lower respiratory diseases,0-24,15
2021,10,Chronic lower respiratory diseases,0-24,11
2021,11,Chronic lower respiratory diseases,0-24,12
2021,12,Chronic lower respiratory diseases,0-24,9
2022,1,Chronic lower respiratory diseases,0-24,18
2022,2,Chronic lower respiratory diseases,0-24,18
2022,3,Chronic lower respiratory diseases,0-24,5
2022,4,Chronic lower respiratory diseases,0-24,2
2022,5,Chronic lower respiratory diseases,0-24,1
2022,6,Chronic lower respiratory diseases,0-24,3
2022,7,Chronic lower respiratory diseases,0-24,1
2022,8,Chronic lower respiratory diseases,0-24,2
2022,9,Chronic lower respiratory diseases,0-24,3
2022,10,Chronic lower respiratory diseases,0-24,2
2022,11,Chronic lower respiratory diseases,0-24,2
2022,12,Chronic lower respiratory diseases,0-24,2
2023,1,Chronic lower respiratory diseases,0-24,4
2023,2,Chronic lower respiratory diseases,0-24,1
2023,3,Chronic lower respiratory diseases,0-24,0
2020,1,Chronic lower respiratory diseases,25-34,0
2020,2,Chronic lower respiratory diseases,25-34,0
2020,3,Chronic lower respiratory diseases,25-34,4
2020,4,Chronic lower respiratory diseases,25-34,31
2020,5,Chronic lower respiratory diseases,25-34,7
2020,6,Chronic lower respiratory diseases,25-34,8
2020,7,Chronic lower respiratory diseases,25-34,17
2020,8,Chronic lower respiratory diseases,25-34,9
2020,9,Chronic lower respiratory diseases,25-34,6
2020,10,Chronic lower respiratory diseases,25-34,6
2020,11,Chronic lower respiratory diseases,25-34,11
2020,12,Chronic lower respiratory diseases,25-34,20
2021,1,Chronic lower respiratory diseases,25-34,27
2021,2,Chronic lower respiratory diseases,25-34,9
2021,3,Chronic lower respiratory diseases,25-34,8
2021,4,Chronic lower respiratory diseases,25-34,10
2021,5,Chronic lower respiratory diseases,25-34,10
2021,6,Chronic lower respiratory diseases,25-34,11
2021,7,Chronic lower respiratory diseases,25-34,10
2021,8,Chronic lower respiratory diseases,25-34,39
2021,9,Chronic lower respiratory diseases,25-34,42
2021,10,Chronic lower respiratory diseases,25-34,21
2021,11,Chronic lower respiratory diseases,25-34,19
2021,12,Chronic lower respiratory diseases,25-34,25
2022,1,Chronic lower respiratory diseases,25-34,42
2022,2,Chronic lower respiratory diseases,25-34,12
2022,3,Chronic lower respiratory diseases,25-34,12
2022,4,Chronic lower respiratory diseases,25-34,2
2022,5,Chronic lower respiratory diseases,25-34,3
2022,6,Chronic lower respiratory diseases,25-34,3
2022,7,Chronic lower respiratory diseases,25-34,6
2022,8,Chronic lower respiratory diseases,25-34,5
2022,9,Chronic lower respiratory diseases,25-34,6
2022,10,Chronic lower respiratory diseases,25-34,2
2022,11,Chronic lower respiratory diseases,25-34,3
2022,12,Chronic lower respiratory diseases,25-34,5
2023,1,Chronic lower respiratory diseases,25-34,2
2023,2,Chronic lower respiratory diseases,25-34,1
2023,3,Chronic lower respiratory diseases,25-34,0
2020,1,Chronic lower respiratory diseases,35-44,0
2020,2,Chronic lower respiratory diseases,35-44,0
2020,3,Chronic lower respiratory diseases,35-44,15
2020,4,Chronic lower respiratory diseases,35-44,40
2020,5,Chronic lower respiratory diseases,35-44,28
2020,6,Chronic lower respiratory diseases,35-44,14
2020,7,Chronic lower respiratory diseases,35-44,37
2020,8,Chronic lower respiratory diseases,35-44,34
2020,9,Chronic lower respiratory diseases,35-44,9
2020,10,Chronic lower respiratory diseases,35-44,19
2020,11,Chronic lower respiratory diseases,35-44,28
2020,12,Chronic lower respiratory diseases,35-44,48
2021,1,Chronic lower respiratory diseases,35-44,56
2021,2,Chronic lower respiratory diseases,35-44,37
2021,3,Chronic lower respiratory diseases,35-44,27
2021,4,Chronic lower respiratory diseases,35-44,23
2021,5,Chronic lower respiratory diseases,35-44,11
2021,6,Chronic lower respiratory diseases,35-44,8
2021,7,Chronic lower respiratory diseases,35-44,21
2021,8,Chronic lower respiratory diseases,35-44,103
2021,9,Chronic lower respiratory diseases,35-44,100
2021,10,Chronic lower respiratory diseases,35-44,60
2021,11,Chronic lower respiratory diseases,35-44,47
2021,12,Chronic lower respiratory diseases,35-44,68
2022,1,Chronic lower respiratory diseases,35-44,96
2022,2,Chronic lower respiratory diseases,35-44,40
2022,3,Chronic lower respiratory diseases,35-44,15
2022,4,Chronic lower respiratory diseases,35-44,9
2022,5,Chronic lower respiratory diseases,35-44,12
2022,6,Chronic lower respiratory diseases,35-44,7
2022,7,Chronic lower respiratory diseases,35-44,10
2022,8,Chronic lower respiratory diseases,35-44,19
2022,9,Chronic lower respiratory diseases,35-44,11
2022,10,Chronic lower respiratory diseases,35-44,5
2022,11,Chronic lower respiratory diseases,35-44,9
2022,12,Chronic lower respiratory diseases,35-44,7
2023,1,Chronic lower respiratory diseases,35-44,9
2023,2,Chronic lower respiratory diseases,35-44,8
2023,3,Chronic lower respiratory diseases,35-44,2
2020,1,Chronic lower respiratory diseases,45-54,0
2020,2,Chronic lower respiratory diseases,45-54,0
2020,3,Chronic lower respiratory diseases,45-54,32
2020,4,Chronic lower respiratory diseases,45-54,144
2020,5,Chronic lower respiratory diseases,45-54,94
2020,6,Chronic lower respiratory diseases,45-54,45
2020,7,Chronic lower respiratory diseases,45-54,85
2020,8,Chronic lower respiratory diseases,45-54,66
2020,9,Chronic lower respiratory diseases,45-54,39
2020,10,Chronic lower respiratory diseases,45-54,57
2020,11,Chronic lower respiratory diseases,45-54,105
2020,12,Chronic lower respiratory diseases,45-54,170
2021,1,Chronic lower respiratory diseases,45-54,194
2021,2,Chronic lower respiratory diseases,45-54,99
2021,3,Chronic lower respiratory diseases,45-54,85
2021,4,Chronic lower respiratory diseases,45-54,64
2021,5,Chronic lower respiratory diseases,45-54,65
2021,6,Chronic lower respiratory diseases,45-54,44
2021,7,Chronic lower respiratory diseases,45-54,51
2021,8,Chronic lower respiratory diseases,45-54,212
2021,9,Chronic lower respiratory diseases,45-54,288
2021,10,Chronic lower respiratory diseases,45-54,162
2021,11,Chronic lower respiratory diseases,45-54,115
2021,12,Chronic lower respiratory diseases,45-54,188
2022,1,Chronic lower respiratory diseases,45-54,270
2022,2,Chronic lower respiratory diseases,45-54,161
2022,3,Chronic lower respiratory diseases,45-54,48
2022,4,Chronic lower respiratory diseases,45-54,22
2022,5,Chronic lower respiratory diseases,45-54,30
2022,6,Chronic lower respiratory diseases,45-54,24
2022,7,Chronic lower respiratory diseases,45-54,47
2022,8,Chronic lower respiratory diseases,45-54,42
2022,9,Chronic lower respiratory diseases,45-54,26
2022,10,Chronic lower respiratory diseases,45-54,23
2022,11,Chronic lower respiratory diseases,45-54,29
2022,12,Chronic lower respiratory diseases,45-54,43
2023,1,Chronic lower respiratory diseases,45-54,29
2023,2,Chronic lower respiratory diseases,45-54,20
2023,3,Chronic lower respiratory diseases,45-54,8
2020,1,Chronic lower respiratory diseases,55-64,0
2020,2,Chronic lower respiratory diseases,55-64,0
2020,3,Chronic lower respiratory diseases,55-64,75
2020,4,Chronic lower respiratory diseases,55-64,555
2020,5,Chronic lower respiratory diseases,55-64,322
2020,6,Chronic lower respiratory diseases,55-64,177
2020,7,Chronic lower respiratory diseases,55-64,308
2020,8,Chronic lower respiratory diseases,55-64,280
2020,9,Chronic lower respiratory diseases,55-64,174
2020,10,Chronic lower respiratory diseases,55-64,226
2020,11,Chronic lower respiratory diseases,55-64,445
2020,12,Chronic lower respiratory diseases,55-64,825
2021,1,Chronic lower respiratory diseases,55-64,856
2021,2,Chronic lower respiratory diseases,55-64,446
2021,3,Chronic lower respiratory diseases,55-64,278
2021,4,Chronic lower respiratory diseases,55-64,251
2021,5,Chronic lower respiratory diseases,55-64,226
2021,6,Chronic lower respiratory diseases,55-64,124
2021,7,Chronic lower respiratory diseases,55-64,154
2021,8,Chronic lower respiratory diseases,55-64,572
2021,9,Chronic lower respiratory diseases,55-64,836
2021,10,Chronic lower respiratory diseases,55-64,579
2021,11,Chronic lower respiratory diseases,55-64,429
2021,12,Chronic lower respiratory diseases,55-64,658
2022,1,Chronic lower respiratory diseases,55-64,1109
2022,2,Chronic lower respiratory diseases,55-64,697
2022,3,Chronic lower respiratory diseases,55-64,249
2022,4,Chronic lower respiratory diseases,55-64,105
2022,5,Chronic lower respiratory diseases,55-64,114
2022,6,Chronic lower respiratory diseases,55-64,119
2022,7,Chronic lower respiratory diseases,55-64,176
2022,8,Chronic lower respiratory diseases,55-64,193
2022,9,Chronic lower respiratory diseases,55-64,158
2022,10,Chronic lower respiratory diseases,55-64,125
2022,11,Chronic lower respiratory diseases,55-64,126
2022,12,Chronic lower respiratory diseases,55-64,172
2023,1,Chronic lower respiratory diseases,55-64,173
2023,2,Chronic lower respiratory diseases,55-64,118
2023,3,Chronic lower respiratory diseases,55-64,51
2020,1,Chronic lower respiratory diseases,65-74,0
2020,2,Chronic lower respiratory diseases,65-74,0
2020,3,Chronic lower respiratory diseases,65-74,146
2020,4,Chronic lower respiratory diseases,65-74,1125
2020,5,Chronic lower respiratory diseases,65-74,799
2020,6,Chronic lower respiratory diseases,65-74,362
2020,7,Chronic lower respiratory diseases,65-74,728
2020,8,Chronic lower respiratory diseases,65-74,695
2020,9,Chronic lower respiratory diseases,65-74,460
2020,10,Chronic lower respiratory diseases,65-74,632
2020,11,Chronic lower respiratory diseases,65-74,1280
